Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1u","C_0805_2012Metric",65.800000,-67.850000,-90.000000,top
"C2","0.1u","C_0805_2012Metric",79.700000,-67.900000,-90.000000,top
"C3","0.1u","C_0805_2012Metric",93.800000,-67.900000,-90.000000,top
"C4","0.1u","C_0805_2012Metric",107.800000,-67.900000,-90.000000,top
"C5","0.1u","C_0805_2012Metric",121.800000,-67.900000,-90.000000,top
"C6","0.1u","C_0805_2012Metric",163.950000,-67.750000,-90.000000,top
"C7","0.1u","C_0805_2012Metric",177.950000,-67.850000,-90.000000,top
"C8","0.1u","C_0805_2012Metric",205.950000,-67.850000,-90.000000,top
"C9","0.1u","C_0805_2012Metric",219.950000,-67.850000,-90.000000,top
"C10","1u","C_0805_2012Metric",159.900000,-223.000000,-90.000000,top
"C11","470p","C_0805_2012Metric",163.800000,-223.000000,-90.000000,top
"C12","0.1u","C_0805_2012Metric",209.700000,-227.800000,0.000000,top
"C13","0.1u","C_0805_2012Metric",228.000000,-227.700000,0.000000,top
"C14","1u","C_0805_2012Metric",231.890000,-228.800000,90.000000,top
"C15","0.1u","C_0805_2012Metric",238.575000,-233.225000,0.000000,top
"C16","0.1u","C_0805_2012Metric",128.200000,-236.450000,0.000000,top
"C17","0.1u","C_0805_2012Metric",191.950000,-67.850000,-90.000000,top
"C18","1u","C_0805_2012Metric",58.700000,-287.100000,-90.000000,top
"C19","1u","C_0805_2012Metric",224.970000,-54.370000,0.000000,top
"C20","1u","C_0805_2012Metric",58.800000,-194.800000,0.000000,top
"C21","1u","C_0805_2012Metric",158.300000,-285.600000,180.000000,top
"C22","0.1u","C_0805_2012Metric",150.030000,-67.870000,-90.000000,top
"C23","0.1u","C_0805_2012Metric",135.950000,-67.850000,-90.000000,top
"C24","470p","C_0805_2012Metric",149.780000,-212.310000,90.000000,top
"C25","0.1u","C_0805_2012Metric",229.030000,-54.370000,180.000000,top
"C26","1u","C_0805_2012Metric",147.460000,-212.310000,90.000000,top
"C27","10u","C_0805_2012Metric",233.540000,-54.360000,0.000000,top
"C28","0.1u","C_0805_2012Metric",174.970000,-254.690000,180.000000,top
"C29","1u","C_0805_2012Metric",226.800000,-151.300000,0.000000,top
"C30","0.1u","C_0805_2012Metric",65.870000,-155.600000,-90.000000,top
